學校代碼,學校名稱,等級別,等級名稱,日夜別,日夜別名稱,群別代碼,群別名稱,科系代碼,科系名稱,一年級班級數,二年級班級數,三年級班級數,四年級班級數,一年級男學生數,一年級女學生數,二年級男學生數,二年級女學生數,三年級男學生數,三年級女學生數,四年級男學生數,四年級女學生數,延修生男學生數,延修生女學生數,上學年畢業生數男,上學年畢業生數女
10301,國立華僑高級中等學校,H,普通科,D,日間部,11,學術群,105,體育班,1,1,1,0,11,13,13,7,10,7,0,0,0,0,14,6
10301,國立華僑高級中等學校,J,附設國中部,D,日間部,,,0,國中部,1,1,1,0,4,5,5,11,9,12,0,0,0,0,13,14
10301,國立華僑高級中等學校,M,綜合高中,D,日間部,11,學術群,109,學術社會、學術自然,15,14,14,0,235,292,212,273,208,269,0,0,0,0,229,256
10301,國立華僑高級中等學校,M,綜合高中,D,日間部,26,商業與管理群,F01,資訊應用,0,0,1,0,0,0,5,0,6,6,0,0,0,0,2,3
10301,國立華僑高級中等學校,M,綜合高中,D,日間部,27,外語群,X11,應用英語,0,1,0,0,0,0,11,10,3,5,0,0,0,0,6,14
11301,私立淡江高中, ,普通科,D,日間部,11,學術群,102,音樂班,1,1,1,0,7,12,8,7,8,17,0,0,0,0,10,20
11301,私立淡江高中,H,普通科,D,日間部,11,學術群,103,美術班,1,1,1,0,7,12,15,14,10,17,0,0,0,0,10,21
11301,私立淡江高中,J,附設國中部,D,日間部,,,0,國中部,8,8,7,0,179,145,193,137,155,139,0,0,0,0,166,95
11301,私立淡江高中,M,綜合高中,D,日間部,11,學術群,109,學術社會、學術自然,10,5,6,0,253,244,128,168,122,133,0,0,0,0,141,151
11301,私立淡江高中,M,綜合高中,D,日間部,26,商業與管理群,F01,資訊應用,0,1,1,0,0,0,28,3,11,9,0,0,0,0,37,5
11301,私立淡江高中,M,綜合高中,D,日間部,26,商業與管理群,F05,商業經營,0,1,1,0,0,0,16,19,24,4,0,0,0,0,20,18
11301,私立淡江高中,M,綜合高中,D,日間部,31,家政群,H08,幼兒保育,0,1,1,0,0,0,4,17,2,11,0,0,0,0,4,10
11301,私立淡江高中,M,綜合高中,D,日間部,28,設計群,V03,美工,0,1,1,0,0,0,14,18,8,9,0,0,0,0,12,21
11301,私立淡江高中,M,綜合高中,D,日間部,27,外語群,X02,應用日語,0,1,1,0,0,0,21,31,18,25,0,0,0,0,16,32
11301,私立淡江高中,M,綜合高中,D,日間部,27,外語群,X11,應用英語,0,1,1,0,0,0,5,11,9,18,0,0,0,0,17,25
11302,私立康橋高中,H,普通科,D,日間部,11,學術群,101,普通科,6,6,6,0,118,152,137,131,140,113,0,0,0,0,115,106
11302,私立康橋高中,J,附設國中部,D,日間部,,,0,國中部,8,8,8,0,179,144,182,147,168,147,0,0,0,0,164,167
11306,私立金陵女中,H,普通科,D,日間部,11,學術群,101,普通科,8,8,8,0,0,373,0,354,0,365,0,0,0,0,0,298
11306,私立金陵女中,J,附設國中部,D,日間部,,,0,國中部,9,9,9,0,0,415,0,405,0,372,0,0,0,0,0,432
11307,新北市私立裕德實驗高級中學,H,普通科,D,日間部,11,學術群,101,普通科,2,1,0,0,20,17,8,8,0,0,0,0,0,0,0,0
11307,新北市私立裕德實驗高級中學,J,附設國中部,D,日間部,,,0,國中部,3,3,3,0,55,34,31,30,28,19,0,0,0,0,37,24
11309,財團法人南山高中,H,普通科,D,日間部,11,學術群,101,普通科,11,11,11,0,293,228,287,216,278,201,0,0,0,0,299,220
11309,財團法人南山高中,J,附設國中部,D,日間部,,,0,國中部,20,20,20,0,528,370,509,372,527,334,0,0,0,0,396,293
11309,財團法人南山高中,V,專業群(職業)科,D,日間部,23,電機與電子群,305,資訊科,2,2,2,0,99,2,88,4,71,8,0,0,0,0,93,0
11309,財團法人南山高中,V,專業群(職業)科,D,日間部,26,商業與管理群,404,資料處理科,1,1,1,0,26,25,26,24,8,25,0,0,0,0,38,42
11310,財團法人恆毅高中,H,普通科,D,日間部,11,學術群,101,普通科,8,8,8,0,246,121,248,114,221,125,0,0,0,0,202,98
11310,財團法人恆毅高中,J,附設國中部,D,日間部,,,0,國中部,12,13,13,0,391,165,410,165,432,152,0,0,0,0,385,140
11311,私立聖心女中,H,普通科,D,日間部,11,學術群,101,普通科,3,3,3,0,0,131,0,132,0,127,0,0,0,0,0,129
11311,私立聖心女中,J,附設國中部,D,日間部,,,0,國中部,5,5,5,0,0,235,0,220,0,213,0,0,0,0,0,229
11312,私立崇義高中,C,進修部(學校),N,夜間部,26,商業與管理群,404,資料處理科,1,1,0,0,2,5,17,13,0,0,0,0,0,0,6,3
11312,私立崇義高中,C,進修部(學校),N,夜間部,31,家政群,504,美容科,0,0,1,0,0,0,0,0,1,6,0,0,0,0,0,4
11312,私立崇義高中,H,普通科,D,日間部,11,學術群,101,普通科,1,1,1,0,32,3,34,2,14,1,0,0,0,0,12,1
11312,私立崇義高中,J,附設國中部,D,日間部,,,0,國中部,1,0,1,0,2,0,0,0,3,1,0,0,0,0,1,0
11312,私立崇義高中,V,專業群(職業)科,D,日間部,23,電機與電子群,305,資訊科,2,2,1,0,33,7,57,2,11,1,0,0,0,0,14,1
11312,私立崇義高中,V,專業群(職業)科,D,日間部,32,餐旅群,407,觀光事業科,1,1,0,0,4,0,2,1,0,0,0,0,0,0,0,0
11314,財團法人中華高中,C,進修部(學校),N,夜間部,21,機械群,301,機械科,0,1,1,0,0,0,25,2,35,0,0,0,0,0,68,2
11314,財團法人中華高中,C,進修部(學校),N,夜間部,23,電機與電子群,305,資訊科,0,0,1,0,0,0,0,0,25,0,0,0,0,0,31,0
11314,財團法人中華高中,C,進修部(學校),N,夜間部,26,商業與管理群,404,資料處理科,0,1,1,0,0,0,23,10,18,13,0,0,0,0,24,20
11314,財團法人中華高中,H,普通科,D,日間部,11,學術群,101,普通科,1,2,2,0,25,23,41,38,35,34,0,0,0,0,40,18
11314,財團法人中華高中,V,專業群(職業)科,D,日間部,21,機械群,301,機械科,1,1,1,0,45,0,38,1,38,0,0,0,0,0,41,0
11314,財團法人中華高中,V,專業群(職業)科,D,日間部,23,電機與電子群,305,資訊科,3,4,3,0,117,5,142,3,108,4,0,0,0,0,130,6
11314,財團法人中華高中,V,專業群(職業)科,D,日間部,26,商業與管理群,404,資料處理科,1,2,2,0,24,19,34,20,24,43,0,0,0,0,37,39
11315,私立東海高中,H,普通科,D,日間部,11,學術群,101,普通科,1,1,1,0,16,26,18,13,19,16,0,0,0,0,14,16
11315,私立東海高中,V,專業群(職業)科,D,日間部,22,動力機械群,303,汽車科,5,5,5,0,230,1,227,2,147,1,0,0,0,0,166,3
11315,私立東海高中,V,專業群(職業)科,D,日間部,23,電機與電子群,305,資訊科,3,3,3,0,88,4,134,4,67,8,0,0,0,0,86,6
11315,私立東海高中,V,專業群(職業)科,D,日間部,23,電機與電子群,306,電子科,1,2,2,0,46,0,56,0,49,3,0,0,0,0,69,3
11315,私立東海高中,V,專業群(職業)科,D,日間部,32,餐旅群,408,餐飲管理科,5,5,5,0,160,88,134,86,99,74,0,0,0,0,107,59
11315,私立東海高中,V,專業群(職業)科,D,日間部,35,藝術群,820,多媒體動畫科,3,3,3,0,51,20,51,38,49,27,0,0,0,0,52,33
11316,私立格致高中,C,進修部(學校),N,夜間部,23,電機與電子群,305,資訊科,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6
11316,私立格致高中,H,普通科,D,日間部,11,學術群,101,普通科,8,11,9,0,241,121,275,167,244,134,0,0,0,0,216,135
11316,私立格致高中,J,附設國中部,D,日間部,,,0,國中部,7,7,7,0,221,104,211,98,203,93,0,0,0,0,180,95
11316,私立格致高中,V,專業群(職業)科,D,日間部,23,電機與電子群,305,資訊科,2,2,2,0,78,0,89,2,75,3,0,0,0,0,67,0
11316,私立格致高中,V,專業群(職業)科,D,日間部,23,電機與電子群,306,電子科,1,1,1,0,40,0,41,0,35,0,0,0,0,0,37,0
11316,私立格致高中,V,專業群(職業)科,D,日間部,26,商業與管理群,404,資料處理科,1,1,1,0,25,27,24,28,14,23,0,0,0,0,28,35
11316,私立格致高中,V,專業群(職業)科,D,日間部,28,設計群,406,廣告設計科,1,1,1,0,11,16,11,28,17,25,0,0,0,0,29,30
11316,私立格致高中,V,專業群(職業)科,D,日間部,28,設計群,430,多媒體設計科,1,1,1,0,25,13,13,10,17,13,0,0,0,0,0,0
11317,私立醒吾高中,E,實用技能學程,N,夜間部,26,商業與管理群,M09,商用資訊科,2,2,2,0,35,15,52,21,71,31,0,0,2,2,71,25
11317,私立醒吾高中,E,實用技能學程,N,夜間部,32,餐旅群,M27,旅遊事務科,1,1,1,0,10,7,21,11,30,14,0,0,0,0,37,15
11317,私立醒吾高中,E,實用技能學程,N,夜間部,36,美容造型群,N11,美顏技術科,1,1,1,0,8,11,7,21,4,30,0,0,0,0,7,26
11317,私立醒吾高中,H,普通科,D,日間部,11,學術群,101,普通科,3,3,3,0,53,55,64,73,50,53,0,0,0,0,53,41
11317,私立醒吾高中,J,附設國中部,D,日間部,,,0,國中部,2,2,2,0,26,15,33,16,38,34,0,0,0,0,53,44
11317,私立醒吾高中,V,專業群(職業)科,D,日間部,26,商業與管理群,401,商業經營科,2,2,2,0,34,34,39,54,23,33,0,0,0,0,16,50
11317,私立醒吾高中,V,專業群(職業)科,D,日間部,26,商業與管理群,404,資料處理科,2,3,3,0,50,22,69,37,61,29,0,0,0,0,55,41
11317,私立醒吾高中,V,專業群(職業)科,D,日間部,32,餐旅群,407,觀光事業科,3,3,3,0,56,57,54,79,48,72,0,0,0,0,43,82
11317,私立醒吾高中,V,專業群(職業)科,D,日間部,31,家政群,515,流行服飾科,1,1,1,0,5,17,4,24,1,20,0,0,0,0,4,39
11317,私立醒吾高中,V,專業群(職業)科,D,日間部,31,家政群,516,時尚造型科,2,2,2,0,7,59,5,62,8,53,0,0,0,0,3,57
11318,私立徐匯高中,H,普通科,D,日間部,11,學術群,101,普通科,5,6,4,0,199,0,241,0,164,0,0,0,0,0,147,0
11318,私立徐匯高中,J,附設國中部,D,日間部,,,0,國中部,5,5,5,0,197,0,187,0,193,0,0,0,0,0,251,0
11322,財團法人崇光女中,H,普通科,D,日間部,11,學術群,101,普通科,6,6,6,0,0,272,0,278,0,250,0,0,0,0,0,242
11322,財團法人崇光女中,J,附設國中部,D,日間部,,,0,國中部,8,8,8,0,6,301,3,356,0,355,0,0,0,0,0,362
11323,私立光仁高中,H,普通科,D,日間部,11,學術群,101,普通科,5,5,5,0,109,122,106,130,109,118,0,0,0,0,113,101
11323,私立光仁高中,H,普通科,D,日間部,11,學術群,102,音樂班,1,1,1,0,10,21,13,18,6,21,0,0,0,0,11,14
11323,私立光仁高中,J,附設國中部,D,日間部,,,0,國中部,9,9,9,0,191,148,209,158,177,142,0,0,0,0,183,168
11324,私立竹林高中,H,普通科,D,日間部,11,學術群,101,普通科,8,8,8,0,175,177,186,166,175,159,0,0,0,0,155,132
11324,私立竹林高中,J,附設國中部,D,日間部,,,0,國中部,10,10,9,0,224,136,186,162,225,142,0,0,0,0,230,218
11324,私立竹林高中,V,專業群(職業)科,D,日間部,26,商業與管理群,404,資料處理科,1,1,1,0,23,20,39,7,31,9,0,0,0,0,26,18
11324,私立竹林高中,V,專業群(職業)科,D,日間部,27,外語群,419,應用外語科(英文組),2,2,2,0,34,49,36,59,33,47,0,0,0,0,36,51
11324,私立竹林高中,V,專業群(職業)科,D,日間部,31,家政群,503,幼兒保育科,1,1,1,0,10,23,4,36,0,23,0,0,0,0,0,34
11325,私立及人高中,H,普通科,D,日間部,11,學術群,101,普通科,4,6,6,0,79,48,145,113,137,85,0,0,0,0,132,91
11325,私立及人高中,J,附設國中部,D,日間部,,,0,國中部,3,4,5,0,57,20,109,41,130,48,0,0,0,0,158,98
11329,財團法人辭修高中,H,普通科,D,日間部,11,學術群,101,普通科,6,7,6,0,153,96,183,114,147,97,0,0,0,0,102,58
11329,財團法人辭修高中,J,附設國中部,D,日間部,,,0,國中部,8,9,9,0,188,129,228,128,211,132,0,0,0,0,210,141
11399,私立時雨高中,H,普通科,D,日間部,11,學術群,101,普通科,5,5,5,0,149,80,156,82,134,94,0,0,0,0,152,67
11399,私立時雨高中,J,附設國中部,D,日間部,,,0,國中部,7,7,7,0,266,119,235,149,223,159,0,0,0,0,229,156
11405,私立樹人家商,C,進修部(學校),N,夜間部,26,商業與管理群,404,資料處理科,0,1,1,0,0,0,19,15,13,18,0,0,0,0,13,25
11405,私立樹人家商,C,進修部(學校),N,夜間部,32,餐旅群,407,觀光事業科,1,1,1,0,20,16,17,23,8,12,0,0,0,0,11,27
11405,私立樹人家商,C,進修部(學校),N,夜間部,32,餐旅群,408,餐飲管理科,2,2,2,0,68,29,43,22,25,30,0,0,0,0,55,33
11405,私立樹人家商,C,進修部(學校),N,夜間部,31,家政群,504,美容科,1,1,1,0,5,32,6,31,4,28,0,0,0,0,10,16
11405,私立樹人家商,V,專業群(職業)科,D,日間部,26,商業與管理群,401,商業經營科,3,3,3,0,59,90,47,93,33,91,0,0,0,0,43,77
11405,私立樹人家商,V,專業群(職業)科,D,日間部,26,商業與管理群,404,資料處理科,3,4,4,0,93,55,90,96,67,84,0,0,0,0,69,72
11405,私立樹人家商,V,專業群(職業)科,D,日間部,32,餐旅群,407,觀光事業科,4,4,4,0,78,121,53,117,47,132,0,0,0,0,0,146
11405,私立樹人家商,V,專業群(職業)科,D,日間部,32,餐旅群,408,餐飲管理科,4,4,4,0,0,199,0,179,0,188,0,0,0,0,0,189
11405,私立樹人家商,V,專業群(職業)科,D,日間部,31,家政群,503,幼兒保育科,2,2,2,0,0,93,0,94,0,90,0,0,0,0,0,90
11405,私立樹人家商,V,專業群(職業)科,D,日間部,31,家政群,504,美容科,3,2,2,0,0,128,0,90,0,87,0,0,0,0,0,94
11407,私立復興商工,C,進修部(學校),N,夜間部,28,設計群,316,美工科,1,0,1,0,14,20,0,0,11,17,0,0,0,0,11,15
11407,私立復興商工,C,進修部(學校),N,夜間部,26,商業與管理群,404,資料處理科,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11407,私立復興商工,C,進修部(學校),N,夜間部,28,設計群,406,廣告設計科,0,1,0,0,0,0,14,14,0,0,0,0,0,0,0,0
11407,私立復興商工,C,進修部(學校),N,夜間部,28,設計群,512,室內設計科,1,1,1,0,21,14,25,14,16,11,0,0,0,0,21,12
11407,私立復興商工,V,專業群(職業)科,D,日間部,23,電機與電子群,305,資訊科,0,0,2,0,0,0,0,0,83,14,0,0,0,0,72,9
11407,私立復興商工,V,專業群(職業)科,D,日間部,28,設計群,316,美工科,9,9,8,0,161,324,181,280,132,282,0,0,0,0,108,281
11407,私立復興商工,V,專業群(職業)科,N,夜間部,28,設計群,316,美工科,1,1,1,2,18,17,17,20,18,24,36,33,0,0,33,44
11407,私立復興商工,V,專業群(職業)科,D,日間部,26,商業與管理群,404,資料處理科,2,2,2,0,60,45,60,41,49,44,0,0,0,0,36,59
11407,私立復興商工,V,專業群(職業)科,D,日間部,28,設計群,406,廣告設計科,11,11,10,0,148,439,160,393,146,371,0,0,0,0,137,360
11407,私立復興商工,V,專業群(職業)科,N,夜間部,28,設計群,406,廣告設計科,1,1,2,2,17,18,9,19,21,34,18,46,0,0,29,38
11407,私立復興商工,V,專業群(職業)科,D,日間部,35,藝術群,804,美術科,3,3,3,0,68,95,43,106,45,102,0,0,0,0,45,98
11408,私立南強工商,C,進修部(學校),N,夜間部,22,動力機械群,303,汽車科,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0
11408,私立南強工商,C,進修部(學校),N,夜間部,32,餐旅群,407,觀光事業科,1,1,1,0,2,3,17,7,13,9,0,0,0,0,17,11
11408,私立南強工商,C,進修部(學校),N,夜間部,35,藝術群,817,表演藝術科,1,1,1,0,2,7,12,8,16,8,0,0,0,0,0,0
11408,私立南強工商,V,專業群(職業)科,D,日間部,22,動力機械群,303,汽車科,4,3,3,0,220,3,148,1,112,6,0,0,0,0,121,2
11408,私立南強工商,V,專業群(職業)科,D,日間部,23,電機與電子群,305,資訊科,2,2,2,0,36,1,52,3,37,2,0,0,0,0,66,7
11408,私立南強工商,V,專業群(職業)科,D,日間部,32,餐旅群,407,觀光事業科,2,2,2,0,44,44,29,57,33,58,0,0,0,0,44,87
11408,私立南強工商,V,專業群(職業)科,D,日間部,35,藝術群,816,電影電視科,2,2,2,0,39,34,17,44,17,30,0,0,0,0,36,16
11408,私立南強工商,V,專業群(職業)科,D,日間部,35,藝術群,817,表演藝術科,5,6,6,0,74,149,108,149,85,139,0,0,0,0,74,106
11408,私立南強工商,V,專業群(職業)科,D,日間部,35,藝術群,820,多媒體動畫科,1,1,1,0,10,8,14,10,6,8,0,0,0,0,12,12
11413,私立穀保家商,C,進修部(學校),N,夜間部,26,商業與管理群,404,資料處理科,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11
11413,私立穀保家商,C,進修部(學校),N,夜間部,32,餐旅群,407,觀光事業科,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5
11413,私立穀保家商,C,進修部(學校),N,夜間部,32,餐旅群,408,餐飲管理科,0,0,2,0,0,0,0,0,45,23,0,0,0,0,37,26
11413,私立穀保家商,C,進修部(學校),N,夜間部,31,家政群,504,美容科,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17
11413,私立穀保家商,C,進修部(學校),N,夜間部,31,家政群,516,時尚造型科,0,0,1,0,0,0,0,0,1,19,0,0,0,0,0,0
11413,私立穀保家商,E,實用技能學程,D,日間部,32,餐旅群,M17,餐飲技術科,1,1,1,0,31,17,24,19,21,15,0,0,2,0,21,11
11413,私立穀保家商,H,普通科,D,日間部,11,學術群,105,體育班,1,1,1,0,31,3,24,2,21,0,0,0,0,0,19,3
11413,私立穀保家商,V,專業群(職業)科,D,日間部,26,商業與管理群,401,商業經營科,1,2,1,0,14,40,31,36,15,23,0,0,0,0,28,41
11413,私立穀保家商,V,專業群(職業)科,D,日間部,26,商業與管理群,404,資料處理科,2,2,2,0,53,42,52,35,58,28,0,0,1,0,39,28
11413,私立穀保家商,V,專業群(職業)科,D,日間部,32,餐旅群,407,觀光事業科,2,2,2,0,48,52,42,51,40,52,0,0,4,2,31,64
11413,私立穀保家商,V,專業群(職業)科,D,日間部,32,餐旅群,408,餐飲管理科,6,5,6,0,184,157,146,120,175,107,0,0,10,1,124,120
11413,私立穀保家商,V,專業群(職業)科,D,日間部,28,設計群,430,多媒體設計科,1,2,2,0,26,27,39,35,36,40,0,0,1,0,23,31
11413,私立穀保家商,V,專業群(職業)科,D,日間部,31,家政群,504,美容科,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,117
11413,私立穀保家商,V,專業群(職業)科,D,日間部,31,家政群,516,時尚造型科,3,3,3,0,21,160,17,124,11,125,0,0,0,0,0,0
11413,私立穀保家商,V,專業群(職業)科,D,日間部,41,綜合,901,綜合職能科,0,1,1,0,0,0,5,9,10,3,0,0,0,0,7,7
11419,私立開明工商,C,進修部(學校),N,夜間部,22,動力機械群,303,汽車科,1,1,1,0,38,1,12,0,17,1,0,0,0,0,23,1
11419,私立開明工商,C,進修部(學校),N,夜間部,23,電機與電子群,305,資訊科,0,0,1,0,0,0,0,0,9,7,0,0,0,0,17,5
11419,私立開明工商,C,進修部(學校),N,夜間部,26,商業與管理群,404,資料處理科,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10
11419,私立開明工商,C,進修部(學校),N,夜間部,32,餐旅群,407,觀光事業科,0,0,1,0,0,0,0,0,8,16,0,0,0,0,12,14
11419,私立開明工商,C,進修部(學校),N,夜間部,32,餐旅群,408,餐飲管理科,1,1,1,0,33,18,6,7,9,13,0,0,0,0,11,12
11419,私立開明工商,C,進修部(學校),N,夜間部,31,家政群,504,美容科,1,1,1,0,5,23,7,27,7,19,0,0,0,0,7,33
11419,私立開明工商,E,實用技能學程,D,日間部,32,餐旅群,K21,烘焙食品科,1,0,0,0,10,14,0,0,0,0,0,0,0,0,0,0
11419,私立開明工商,E,實用技能學程,N,夜間部,32,餐旅群,K21,烘焙食品科,0,1,1,0,0,0,3,5,5,5,0,0,0,0,4,8
11419,私立開明工商,E,實用技能學程,N,夜間部,22,動力機械群,L01,汽車修護科,0,1,1,0,0,0,9,2,12,1,0,0,1,0,28,0
11419,私立開明工商,E,實用技能學程,N,夜間部,32,餐旅群,M17,餐飲技術科,0,1,1,0,0,0,13,6,14,10,0,0,3,1,24,13
11419,私立開明工商,V,專業群(職業)科,D,日間部,22,動力機械群,303,汽車科,2,2,2,0,72,2,95,4,89,0,0,0,0,0,109,2
11419,私立開明工商,V,專業群(職業)科,D,日間部,23,電機與電子群,305,資訊科,1,1,1,0,36,14,25,11,31,5,0,0,0,0,27,8
11419,私立開明工商,V,專業群(職業)科,D,日間部,32,餐旅群,407,觀光事業科,0,0,1,0,0,0,0,0,11,11,0,0,0,0,18,29
11419,私立開明工商,V,專業群(職業)科,D,日間部,32,餐旅群,408,餐飲管理科,3,3,3,0,107,57,77,53,109,80,0,0,0,0,161,112
11419,私立開明工商,V,專業群(職業)科,D,日間部,26,商業與管理群,426,流通管理科,2,2,2,0,19,20,18,15,37,15,0,0,0,0,39,34
11419,私立開明工商,V,專業群(職業)科,D,日間部,31,家政群,504,美容科,1,1,1,0,5,16,7,21,0,13,0,0,0,0,4,17
11420,私立智光商工,C,進修部(學校),N,夜間部,23,電機與電子群,305,資訊科,1,1,1,0,18,4,22,2,14,1,0,0,0,0,21,2
11420,私立智光商工,C,進修部(學校),N,夜間部,32,餐旅群,408,餐飲管理科,1,1,1,0,16,14,25,14,23,28,0,0,0,0,26,18
11420,私立智光商工,V,專業群(職業)科,D,日間部,21,機械群,301,機械科,2,2,2,0,94,4,93,1,88,1,0,0,0,0,81,1
11420,私立智光商工,V,專業群(職業)科,D,日間部,23,電機與電子群,305,資訊科,2,3,3,0,76,3,113,3,114,2,0,0,0,0,91,0
11420,私立智光商工,V,專業群(職業)科,D,日間部,23,電機與電子群,306,電子科,1,1,1,0,43,0,46,1,42,1,0,0,0,0,38,2
11420,私立智光商工,V,專業群(職業)科,D,日間部,28,設計群,316,美工科,1,1,1,0,13,14,15,24,18,26,0,0,0,0,18,27
11420,私立智光商工,V,專業群(職業)科,D,日間部,26,商業與管理群,404,資料處理科,2,2,2,0,29,40,52,35,32,30,0,0,0,0,42,38
11420,私立智光商工,V,專業群(職業)科,D,日間部,32,餐旅群,407,觀光事業科,2,2,2,0,31,43,31,47,34,55,0,0,0,0,33,30
11420,私立智光商工,V,專業群(職業)科,D,日間部,32,餐旅群,408,餐飲管理科,7,8,8,0,201,126,190,152,196,174,0,0,0,0,248,153
11420,私立智光商工,V,專業群(職業)科,D,日間部,28,設計群,430,多媒體設計科,1,1,1,0,16,19,26,19,25,24,0,0,0,0,14,22
11420,私立智光商工,V,專業群(職業)科,D,日間部,35,藝術群,817,表演藝術科,1,2,2,0,12,18,17,11,12,11,0,0,0,0,0,0
11421,私立清傳高商,V,專業群(職業)科,D,日間部,26,商業與管理群,401,商業經營科,2,2,2,0,32,46,21,50,28,39,0,0,0,0,28,66
11421,私立清傳高商,V,專業群(職業)科,D,日間部,26,商業與管理群,404,資料處理科,1,1,1,0,25,21,27,22,25,18,0,0,0,0,37,40
11421,私立清傳高商,V,專業群(職業)科,D,日間部,27,外語群,421,應用外語科(日文組),2,1,0,0,24,45,16,25,0,0,0,0,0,0,0,0
11421,私立清傳高商,V,專業群(職業)科,D,日間部,26,商業與管理群,425,電子商務科,1,1,0,0,20,8,19,8,0,0,0,0,0,0,0,0
11426,私立能仁家商,C,進修部(學校),N,夜間部,32,餐旅群,407,觀光事業科,1,1,1,0,30,18,24,21,19,11,0,0,0,0,29,8
11426,私立能仁家商,C,進修部(學校),N,夜間部,31,家政群,504,美容科,5,4,4,0,50,200,35,149,35,136,0,0,0,0,29,120
11426,私立能仁家商,E,實用技能學程,N,夜間部,26,商業與管理群,M09,商用資訊科,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,19
11426,私立能仁家商,E,實用技能學程,N,夜間部,36,美容造型群,N11,美顏技術科,1,0,0,0,8,34,0,0,0,0,0,0,0,0,0,26
11426,私立能仁家商,H,普通科,D,日間部,11,學術群,101,普通科,1,1,1,0,22,9,20,10,19,11,0,0,0,0,16,9
11426,私立能仁家商,M,綜合高中,D,日間部,11,學術群,109,學術社會、學術自然,4,0,0,0,46,95,0,0,0,0,0,0,0,0,0,0
11426,私立能仁家商,M,綜合高中,D,日間部,26,商業與管理群,F08,資料處理,0,1,0,0,0,0,19,22,0,0,0,0,0,0,0,0
11426,私立能仁家商,M,綜合高中,D,日間部,31,家政群,H01,美容,0,1,1,0,0,0,1,13,0,15,0,0,0,0,0,20
11426,私立能仁家商,M,綜合高中,D,日間部,31,家政群,H08,幼兒保育,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0
11426,私立能仁家商,M,綜合高中,D,日間部,32,餐旅群,J04,餐飲管理,0,1,1,0,0,0,16,7,10,10,0,0,0,0,46,32
11426,私立能仁家商,M,綜合高中,D,日間部,32,餐旅群,J08,觀光事業,0,0,0,0,0,0,5,12,11,6,0,0,0,0,18,24
11426,私立能仁家商,M,綜合高中,D,日間部,28,設計群,V01,廣告設計,0,1,0,0,0,0,9,23,0,0,0,0,0,0,0,0
11426,私立能仁家商,V,專業群(職業)科,D,日間部,26,商業與管理群,401,商業經營科,2,2,2,0,75,33,56,31,44,31,0,0,0,0,74,73
11426,私立能仁家商,V,專業群(職業)科,D,日間部,26,商業與管理群,404,資料處理科,2,1,2,0,43,8,35,12,51,19,0,0,0,0,63,22
11426,私立能仁家商,V,專業群(職業)科,D,日間部,28,設計群,406,廣告設計科,1,1,2,0,17,33,17,27,27,44,0,0,0,0,30,54
11426,私立能仁家商,V,專業群(職業)科,D,日間部,32,餐旅群,407,觀光事業科,3,1,2,0,67,34,24,20,43,34,0,0,0,0,35,53
11426,私立能仁家商,V,專業群(職業)科,D,日間部,32,餐旅群,408,餐飲管理科,4,4,4,0,133,93,114,66,93,68,0,0,0,0,58,29
11426,私立能仁家商,V,專業群(職業)科,D,日間部,28,設計群,430,多媒體設計科,1,1,1,0,9,27,19,20,25,12,0,0,0,0,17,31
11426,私立能仁家商,V,專業群(職業)科,D,日間部,31,家政群,503,幼兒保育科,1,1,1,0,3,38,3,44,2,40,0,0,0,0,2,41
11426,私立能仁家商,V,專業群(職業)科,D,日間部,31,家政群,504,美容科,4,4,3,0,29,172,35,155,19,128,0,0,0,0,21,172
11426,私立能仁家商,V,專業群(職業)科,D,日間部,31,家政群,515,流行服飾科,1,1,1,0,5,21,1,18,1,24,0,0,0,0,1,46
11426,私立能仁家商,V,專業群(職業)科,D,日間部,35,藝術群,817,表演藝術科,1,1,1,0,23,27,19,19,11,29,0,0,0,0,30,34
11426,私立能仁家商,V,專業群(職業)科,D,日間部,41,綜合,901,綜合職能科,3,3,3,0,24,17,23,12,17,12,0,0,0,0,12,20
11427,私立豫章工商,C,進修部(學校),N,夜間部,23,電機與電子群,305,資訊科,0,1,0,0,0,0,11,0,0,0,0,0,0,0,17,1
11427,私立豫章工商,C,進修部(學校),N,夜間部,23,電機與電子群,308,電機科,1,1,1,0,29,0,20,0,14,0,0,0,0,0,20,0
11427,私立豫章工商,C,進修部(學校),N,夜間部,26,商業與管理群,404,資料處理科,0,1,1,0,0,0,7,7,7,8,0,0,0,0,7,9
11427,私立豫章工商,C,進修部(學校),N,夜間部,28,設計群,406,廣告設計科,0,1,1,0,0,0,4,6,4,7,0,0,0,0,7,9
11427,私立豫章工商,C,進修部(學校),N,夜間部,32,餐旅群,408,餐飲管理科,2,2,2,0,60,32,31,22,28,26,0,0,0,0,30,33
