學年度,學校代碼,學校名稱,類別,等級別,國別代碼,國別名稱,科系代碼,科系名稱,學生總計,男學生,女學生,一年級男,一年級女,二年級男,二年級女,三年級男,三年級女,四年級男,四年級女,五年級男,五年級女,六年級男,六年級女,七年級男,七年級女,延修生男,延修生女,上學年畢業生總計,上學年度男畢業生,上學年度女畢業生
105,0001,國立政治大學,A 僑生,B 學士(四年),005,緬甸,140101,教育學系, 2 , 1 , 1 , - , - , - , 1 , - , - , 1 , - , - , - , - , - , - , - , - , - , - , - , - 
105,0001,國立政治大學,A 僑生,B 學士(四年),005,緬甸,220307,英國語文學系, 1 , - , 1 , - , - , - , - , - , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - 
105,0001,國立政治大學,A 僑生,B 學士(四年),005,緬甸,220324,韓國語文學系, 1 , - , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - , - , - 
105,0001,國立政治大學,A 僑生,B 學士(四年),005,緬甸,310101,經濟學系, 1 , - , 1 , - , - , - , - , - , - , - , 1 , - , - , - , - , - , - , - , - , - , - , - 
105,0001,國立政治大學,A 僑生,B 學士(四年),005,緬甸,310811,地政學系, 3 , 1 , 2 , - , 1 , - , 1 , - , - , 1 , - , - , - , - , - , - , - , - , - , - , - , - 
105,0001,國立政治大學,A 僑生,B 學士(四年),005,緬甸,340301,企業管理學系, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - , 1 
105,0001,國立政治大學,A 僑生,B 學士(四年),005,緬甸,340504,財務管理學系, 1 , - , 1 , - , - , - , - , - , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - 
105,0001,國立政治大學,A 僑生,B 學士(四年),005,緬甸,340701,財政學系, 1 , - , 1 , - , - , - , - , - , - , - , 1 , - , - , - , - , - , - , - , - , - , - , - 
105,0001,國立政治大學,A 僑生,B 學士(四年),005,緬甸,480109,資訊管理學系, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - , 1 
105,0001,國立政治大學,A 僑生,B 學士(四年),005,緬甸,520116,資訊科學系, 1 , - , 1 , - , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
105,0001,國立政治大學,A 僑生,B 學士(四年),009,印尼,220320,日本語文學系, 2 , 1 , 1 , 1 , - , - , - , - , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - 
105,0001,國立政治大學,A 僑生,B 學士(四年),009,印尼,220326,土耳其語文學系, 1 , 1 , - , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
105,0001,國立政治大學,A 僑生,B 學士(四年),009,印尼,310301,社會學系, 1 , - , 1 , - , - , - , - , - , - , - , 1 , - , - , - , - , - , - , - , - , - , - , - 
105,0001,國立政治大學,A 僑生,B 學士(四年),009,印尼,310905,外交學系, 1 , 1 , - , - , - , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
105,0001,國立政治大學,A 僑生,B 學士(四年),009,印尼,320102,傳播學院傳播學士學位學程, 1 , - , 1 , - , - , - , - , - , - , - , 1 , - , - , - , - , - , - , - , - , - , - , - 
105,0001,國立政治大學,A 僑生,B 學士(四年),009,印尼,320301,廣播電視學系, 3 , - , 3 , - , - , - , - , - , 3 , - , - , - , - , - , - , - , - , - , - , - , - , - 
105,0001,國立政治大學,A 僑生,B 學士(四年),009,印尼,320802,廣告學系, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - , 1 
105,0001,國立政治大學,A 僑生,B 學士(四年),009,印尼,329999,傳播學院大一大二不分系, 2 , - , 2 , - , - , - , 2 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
105,0001,國立政治大學,A 僑生,B 學士(四年),009,印尼,340201,會計學系, 2 , - , 2 , - , - , - , - , - , 1 , - , 1 , - , - , - , - , - , - , - , - , 1 , - , 1 
105,0001,國立政治大學,A 僑生,B 學士(四年),009,印尼,340301,企業管理學系, 2 , 1 , 1 , - , - , 1 , - , - , - , - , 1 , - , - , - , - , - , - , - , - , 1 , 1 , - 
105,0001,國立政治大學,A 僑生,B 學士(四年),009,印尼,340408,國際經營與貿易學系, 6 , 2 , 4 , 1 , 1 , - , 1 , 1 , 1 , - , 1 , - , - , - , - , - , - , - , - , - , - , - 
105,0001,國立政治大學,A 僑生,B 學士(四年),009,印尼,340504,財務管理學系, 3 , - , 3 , - , 1 , - , - , - , 1 , - , 1 , - , - , - , - , - , - , - , - , - , - , - 
105,0001,國立政治大學,A 僑生,B 學士(四年),009,印尼,340505,金融學系, 3 , - , 3 , - , 1 , - , 1 , - , - , - , 1 , - , - , - , - , - , - , - , - , - , - , - 
105,0001,國立政治大學,A 僑生,B 學士(四年),009,印尼,340701,財政學系, 3 , 2 , 1 , 1 , - , - , - , 1 , - , - , 1 , - , - , - , - , - , - , - , - , - , - , - 
105,0001,國立政治大學,A 僑生,B 學士(四年),009,印尼,380101,法律學系, 1 , 1 , - , - , - , - , - , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
105,0001,國立政治大學,A 僑生,B 學士(四年),009,印尼,480109,資訊管理學系, 1 , 1 , - , - , - , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , 1 , - 
105,0001,國立政治大學,A 僑生,B 學士(四年),013,日本,140101,教育學系, 2 , 1 , 1 , - , - , - , 1 , - , - , 1 , - , - , - , - , - , - , - , - , - , - , - , - 
105,0001,國立政治大學,A 僑生,B 學士(四年),013,日本,220327,歐洲語文學系, 1 , - , 1 , - , - , - , - , - , - , - , 1 , - , - , - , - , - , - , - , - , - , - , - 
105,0001,國立政治大學,A 僑生,B 學士(四年),013,日本,310905,外交學系, 1 , 1 , - , - , - , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
105,0001,國立政治大學,A 僑生,B 學士(四年),013,日本,320301,廣播電視學系, 1 , - , 1 , - , - , - , - , - , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - 
105,0001,國立政治大學,A 僑生,B 學士(四年),013,日本,329999,傳播學院大一大二不分系, 2 , 1 , 1 , - , - , 1 , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
105,0001,國立政治大學,A 僑生,B 學士(四年),013,日本,340201,會計學系, 1 , - , 1 , - , - , - , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
105,0001,國立政治大學,A 僑生,B 學士(四年),013,日本,340701,財政學系, 1 , 1 , - , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
105,0001,國立政治大學,A 僑生,B 學士(四年),015,南韓,220333,斯拉夫語文學系, 1 , - , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - , - , - 
105,0001,國立政治大學,A 僑生,B 學士(四年),015,南韓,310905,外交學系, 1 , - , 1 , - , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
105,0001,國立政治大學,A 僑生,B 學士(四年),015,南韓,340408,國際經營與貿易學系, 1 , - , 1 , - , - , - , - , - , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - 
105,0001,國立政治大學,A 僑生,B 學士(四年),015,南韓,380101,法律學系, 3 , - , 3 , - , - , - , 2 , - , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - 
105,0001,國立政治大學,A 僑生,B 學士(四年),019,馬來西亞,140101,教育學系, 13 , 2 , 11 , - , 2 , 1 , 3 , - , 3 , 1 , 2 , - , - , - , - , - , - , - , 1 , 4 , 1 , 3 
105,0001,國立政治大學,A 僑生,B 學士(四年),019,馬來西亞,220201,中國文學系, 10 , 2 , 8 , - , 2 , 2 , 2 , - , 1 , - , 2 , - , - , - , - , - , - , - , 1 , 2 , 1 , 1 
105,0001,國立政治大學,A 僑生,B 學士(四年),019,馬來西亞,220307,英國語文學系, 3 , 1 , 2 , - , 1 , - , - , 1 , - , - , 1 , - , - , - , - , - , - , - , - , 2 , - , 2 
105,0001,國立政治大學,A 僑生,B 學士(四年),019,馬來西亞,220320,日本語文學系, 5 , 1 , 4 , - , - , - , 1 , - , 2 , - , 1 , - , - , - , - , - , - , 1 , - , - , - , - 
105,0001,國立政治大學,A 僑生,B 學士(四年),019,馬來西亞,220324,韓國語文學系, 5 , - , 5 , - , 2 , - , - , - , 2 , - , 1 , - , - , - , - , - , - , - , - , 2 , - , 2 
105,0001,國立政治大學,A 僑生,B 學士(四年),019,馬來西亞,220326,土耳其語文學系, 5 , 1 , 4 , - , 1 , - , 2 , 1 , - , - , 1 , - , - , - , - , - , - , - , - , - , - , - 
105,0001,國立政治大學,A 僑生,B 學士(四年),019,馬來西亞,220327,歐洲語文學系, 2 , - , 2 , - , 1 , - , - , - , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - 
105,0001,國立政治大學,A 僑生,B 學士(四年),019,馬來西亞,220333,斯拉夫語文學系, 1 , 1 , - , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
105,0001,國立政治大學,A 僑生,B 學士(四年),019,馬來西亞,220901,歷史學系, 2 , 1 , 1 , 1 , - , - , - , - , 1 , - , - , - , - , - , - , - , - , - , - , 1 , - , 1 
105,0001,國立政治大學,A 僑生,B 學士(四年),019,馬來西亞,221101,哲學系, 4 , 3 , 1 , - , 1 , - , - , 2 , - , - , - , - , - , - , - , - , - , 1 , - , 2 , 1 , 1 
105,0001,國立政治大學,A 僑生,B 學士(四年),019,馬來西亞,310101,經濟學系, 6 , 2 , 4 , - , 1 , - , 1 , 1 , 1 , 1 , 1 , - , - , - , - , - , - , - , - , 1 , 1 , - 
105,0001,國立政治大學,A 僑生,B 學士(四年),019,馬來西亞,310301,社會學系, 2 , 1 , 1 , 1 , - , - , - , - , 1 , - , - , - , - , - , - , - , - , - , - , 1 , - , 1 
105,0001,國立政治大學,A 僑生,B 學士(四年),019,馬來西亞,310401,民族學系, 1 , - , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - , - , - 
105,0001,國立政治大學,A 僑生,B 學士(四年),019,馬來西亞,310501,心理學系, 8 , 1 , 7 , - , 1 , 1 , 1 , - , 3 , - , 2 , - , - , - , - , - , - , - , - , 2 , 2 , - 
105,0001,國立政治大學,A 僑生,B 學士(四年),019,馬來西亞,310801,公共行政學系, 7 , 2 , 5 , 1 , - , - , 1 , - , 2 , - , 2 , - , - , - , - , - , - , 1 , - , - , - , - 
105,0001,國立政治大學,A 僑生,B 學士(四年),019,馬來西亞,310811,地政學系, 4 , 3 , 1 , 1 , - , 1 , - , 1 , - , - , 1 , - , - , - , - , - , - , - , - , 2 , 1 , 1 
105,0001,國立政治大學,A 僑生,B 學士(四年),019,馬來西亞,310905,外交學系, 6 , - , 6 , - , 1 , - , 1 , - , 4 , - , - , - , - , - , - , - , - , - , - , - , - , - 
105,0001,國立政治大學,A 僑生,B 學士(四年),019,馬來西亞,320102,傳播學院傳播學士學位學程, 5 , 2 , 3 , - , - , - , - , - , - , 1 , 2 , - , - , - , - , - , - , 1 , 1 , 3 , - , 3 
105,0001,國立政治大學,A 僑生,B 學士(四年),019,馬來西亞,320201,新聞學系, 7 , 1 , 6 , - , - , - , - , - , 1 , 1 , 2 , - , - , - , - , - , - , - , 3 , 1 , 1 , - 
105,0001,國立政治大學,A 僑生,B 學士(四年),019,馬來西亞,320301,廣播電視學系, 7 , - , 7 , - , - , - , - , - , 3 , - , 3 , - , - , - , - , - , - , - , 1 , 2 , - , 2 
105,0001,國立政治大學,A 僑生,B 學士(四年),019,馬來西亞,320802,廣告學系, 8 , - , 8 , - , - , - , - , - , 5 , - , 2 , - , - , - , - , - , - , - , 1 , - , - , - 
105,0001,國立政治大學,A 僑生,B 學士(四年),019,馬來西亞,329999,傳播學院大一大二不分系, 12 , 2 , 10 , 1 , 7 , 1 , 3 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
105,0001,國立政治大學,A 僑生,B 學士(四年),019,馬來西亞,340201,會計學系, 1 , - , 1 , - , - , - , - , - , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - 
105,0001,國立政治大學,A 僑生,B 學士(四年),019,馬來西亞,340301,企業管理學系, 15 , 2 , 13 , 2 , 5 , - , 1 , - , 3 , - , 3 , - , - , - , - , - , - , - , 1 , 3 , - , 3 
105,0001,國立政治大學,A 僑生,B 學士(四年),019,馬來西亞,340408,國際經營與貿易學系, 9 , 2 , 7 , - , 3 , - , 2 , 1 , 1 , 1 , 1 , - , - , - , - , - , - , - , - , 3 , 2 , 1 
105,0001,國立政治大學,A 僑生,B 學士(四年),019,馬來西亞,340504,財務管理學系, 6 , 4 , 2 , - , - , 1 , - , 2 , - , 1 , 1 , - , - , - , - , - , - , - , 1 , - , - , - 
105,0001,國立政治大學,A 僑生,B 學士(四年),019,馬來西亞,340505,金融學系, 5 , 3 , 2 , - , 1 , - , - , 3 , - , - , 1 , - , - , - , - , - , - , - , - , 1 , 1 , - 
105,0001,國立政治大學,A 僑生,B 學士(四年),019,馬來西亞,340601,風險管理與保險學系, 7 , 4 , 3 , - , - , - , 1 , 2 , 1 , 2 , 1 , - , - , - , - , - , - , - , - , 1 , 1 , - 
105,0001,國立政治大學,A 僑生,B 學士(四年),019,馬來西亞,340701,財政學系, 6 , 1 , 5 , - , 2 , 1 , - , - , 1 , - , 1 , - , - , - , - , - , - , - , 1 , - , - , - 
105,0001,國立政治大學,A 僑生,B 學士(四年),019,馬來西亞,380101,法律學系, 7 , 4 , 3 , 1 , 2 , - , - , - , 1 , 2 , - , - , - , - , - , - , - , 1 , - , 1 , - , 1 
105,0001,國立政治大學,A 僑生,B 學士(四年),019,馬來西亞,460102,應用數學系, 1 , 1 , - , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , 1 , - 
105,0001,國立政治大學,A 僑生,B 學士(四年),019,馬來西亞,460201,統計學系, 4 , 1 , 3 , - , 1 , - , 1 , 1 , - , - , 1 , - , - , - , - , - , - , - , - , 1 , 1 , - 
105,0001,國立政治大學,A 僑生,B 學士(四年),019,馬來西亞,480109,資訊管理學系, 8 , 5 , 3 , 1 , 2 , 1 , - , 1 , - , 2 , 1 , - , - , - , - , - , - , - , - , 1 , - , 1 
105,0001,國立政治大學,A 僑生,B 學士(四年),019,馬來西亞,520116,資訊科學系, 4 , 3 , 1 , 1 , - , - , - , 1 , - , - , 1 , - , - , - , - , - , - , 1 , - , - , - , - 
105,0001,國立政治大學,A 僑生,B 學士(四年),024,菲律賓,340408,國際經營與貿易學系, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , 1 , - 
105,0001,國立政治大學,A 僑生,B 學士(四年),027,新加坡,140101,教育學系, 1 , - , 1 , - , - , - , - , - , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - 
105,0001,國立政治大學,A 僑生,B 學士(四年),027,新加坡,220327,歐洲語文學系, 1 , - , 1 , - , - , - , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
105,0001,國立政治大學,A 僑生,B 學士(四年),027,新加坡,310501,心理學系, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - , 1 
105,0001,國立政治大學,A 僑生,B 學士(四年),027,新加坡,320301,廣播電視學系, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - , 1 
105,0001,國立政治大學,A 僑生,B 學士(四年),027,新加坡,320802,廣告學系, 1 , - , 1 , - , - , - , - , - , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - 
105,0001,國立政治大學,A 僑生,B 學士(四年),030,泰國,220201,中國文學系, 2 , 2 , - , - , - , 1 , - , - , - , 1 , - , - , - , - , - , - , - , - , - , 1 , - , 1 
105,0001,國立政治大學,A 僑生,B 學士(四年),030,泰國,220307,英國語文學系, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - , 1 
105,0001,國立政治大學,A 僑生,B 學士(四年),030,泰國,220322,阿拉伯語文學系, 1 , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - , - , - , - 
105,0001,國立政治大學,A 僑生,B 學士(四年),030,泰國,310101,經濟學系, 3 , - , 3 , - , 1 , - , 1 , - , 1 , - , - , - , - , - , - , - , - , - , - , 1 , - , 1 
105,0001,國立政治大學,A 僑生,B 學士(四年),030,泰國,310501,心理學系, 1 , - , 1 , - , - , - , - , - , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - 
105,0001,國立政治大學,A 僑生,B 學士(四年),030,泰國,320802,廣告學系, 1 , - , 1 , - , - , - , - , - , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - 
105,0001,國立政治大學,A 僑生,B 學士(四年),030,泰國,340301,企業管理學系, 1 , 1 , - , - , - , - , - , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
105,0001,國立政治大學,A 僑生,B 學士(四年),030,泰國,340701,財政學系, 1 , - , 1 , - , - , - , - , - , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - 
105,0001,國立政治大學,A 僑生,B 學士(四年),030,泰國,380101,法律學系, 1 , - , 1 , - , - , - , - , - , - , - , 1 , - , - , - , - , - , - , - , - , 1 , - , 1 
105,0001,國立政治大學,A 僑生,B 學士(四年),030,泰國,460201,統計學系, 1 , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - , - , - , - 
105,0001,國立政治大學,A 僑生,B 學士(四年),030,泰國,480109,資訊管理學系, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - , 1 
105,0001,國立政治大學,A 僑生,B 學士(四年),033,越南,140101,教育學系, 1 , 1 , - , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
105,0001,國立政治大學,A 僑生,B 學士(四年),033,越南,220307,英國語文學系, 2 , 1 , 1 , - , - , - , - , 1 , - , - , 1 , - , - , - , - , - , - , - , - , - , - , - 
105,0001,國立政治大學,A 僑生,B 學士(四年),033,越南,220324,韓國語文學系, 1 , - , 1 , - , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
105,0001,國立政治大學,A 僑生,B 學士(四年),033,越南,220327,歐洲語文學系, 2 , 1 , 1 , - , - , - , - , - , 1 , 1 , - , - , - , - , - , - , - , - , - , - , - , - 
105,0001,國立政治大學,A 僑生,B 學士(四年),033,越南,221101,哲學系, 1 , 1 , - , - , - , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
105,0001,國立政治大學,A 僑生,B 學士(四年),033,越南,310301,社會學系, 1 , - , 1 , - , - , - , - , - , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - 
105,0001,國立政治大學,A 僑生,B 學士(四年),033,越南,310501,心理學系, 1 , 1 , - , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
105,0001,國立政治大學,A 僑生,B 學士(四年),033,越南,310905,外交學系, 4 , - , 4 , - , - , - , 1 , - , 2 , - , 1 , - , - , - , - , - , - , - , - , - , - , - 
105,0001,國立政治大學,A 僑生,B 學士(四年),033,越南,320301,廣播電視學系, 1 , - , 1 , - , - , - , - , - , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - 
105,0001,國立政治大學,A 僑生,B 學士(四年),033,越南,329999,傳播學院大一大二不分系, 2 , 1 , 1 , - , 1 , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
105,0001,國立政治大學,A 僑生,B 學士(四年),033,越南,340408,國際經營與貿易學系, 1 , - , 1 , - , - , - , - , - , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - 
105,0001,國立政治大學,A 僑生,B 學士(四年),033,越南,340504,財務管理學系, 1 , 1 , - , - , - , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
105,0001,國立政治大學,A 僑生,B 學士(四年),033,越南,340505,金融學系, 1 , - , 1 , - , - , - , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
105,0001,國立政治大學,A 僑生,B 學士(四年),103,諾魯,340201,會計學系, 1 , - , 1 , - , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
105,0001,國立政治大學,A 僑生,B 學士(四年),104,紐西蘭,340505,金融學系, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - , 1 
105,0001,國立政治大學,A 僑生,B 學士(四年),241,南非,310101,經濟學系, 1 , - , 1 , - , - , - , - , - , - , - , 1 , - , - , - , - , - , - , - , - , - , - , - 
105,0001,國立政治大學,A 僑生,B 學士(四年),403,加拿大,220327,歐洲語文學系, 1 , - , 1 , - , - , - , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
105,0001,國立政治大學,A 僑生,B 學士(四年),403,加拿大,329999,傳播學院大一大二不分系, 1 , - , 1 , - , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
105,0001,國立政治大學,A 僑生,B 學士(四年),403,加拿大,380101,法律學系, 1 , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - , - , - , - 
105,0001,國立政治大學,A 僑生,B 學士(四年),406,多明尼加,340301,企業管理學系, 1 , 1 , - , - , - , - , - , - , - , 1 , - , - , - , - , - , - , - , - , - , - , - , - 
105,0001,國立政治大學,A 僑生,B 學士(四年),413,墨西哥,329999,傳播學院大一大二不分系, 1 , 1 , - , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
105,0001,國立政治大學,A 僑生,B 學士(四年),425,美國,310905,外交學系, 1 , 1 , - , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
105,0001,國立政治大學,A 僑生,B 學士(四年),425,美國,380101,法律學系, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 2 , 1 , 1 
105,0001,國立政治大學,A 僑生,B 學士(四年),501,阿根廷,480109,資訊管理學系, 1 , - , 1 , - , - , - , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
105,0001,國立政治大學,A 僑生,B 學士(四年),503,巴西,220327,歐洲語文學系, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - , 1 
105,0001,國立政治大學,A 僑生,B 學士(四年),503,巴西,310905,外交學系, 1 , 1 , - , - , - , - , - , - , - , 1 , - , - , - , - , - , - , - , - , - , - , - , - 
105,0001,國立政治大學,A 僑生,B 學士(四年),508,巴拉圭,340301,企業管理學系, 1 , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - , - , - , - 
105,0001,國立政治大學,A 僑生,B 學士(四年),508,巴拉圭,340701,財政學系, 1 , - , 1 , - , - , - , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
105,0001,國立政治大學,A 僑生,D 博士,019,馬來西亞,220201,中國文學系, 2 , 1 , 1 , 1 , - , - , - , - , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - 
105,0001,國立政治大學,A 僑生,D 博士,019,馬來西亞,220801,宗教研究所, 1 , - , 1 , - , - , - , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
105,0001,國立政治大學,A 僑生,D 博士,019,馬來西亞,460201,統計學系, 1 , 1 , - , - , - , - , - , - , - , - , - , - , - , 1 , - , - , - , - , - , - , - , - 
105,0001,國立政治大學,A 僑生,D 博士,241,南非,340601,風險管理與保險學系, 1 , - , 1 , - , - , - , - , - , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - 
105,0001,國立政治大學,A 僑生,D 博士,425,美國,220801,宗教研究所, 1 , - , 1 , - , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
105,0001,國立政治大學,A 僑生,M 碩士,005,緬甸,140203,華語文教學碩士學位學程, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - , 1 
105,0001,國立政治大學,A 僑生,M 碩士,009,印尼,140401,幼兒教育研究所, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - , 1 
105,0001,國立政治大學,A 僑生,M 碩士,009,印尼,320102,傳播學院傳播碩士學位學程, 1 , - , 1 , - , - , - , - , - , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - 
105,0001,國立政治大學,A 僑生,M 碩士,009,印尼,340301,企業管理研究所(MBA學位學程), 4 , 1 , 3 , 1 , - , - , 3 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
105,0001,國立政治大學,A 僑生,M 碩士,009,印尼,340408,國際經營與貿易學系, 1 , - , 1 , - , - , - , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
105,0001,國立政治大學,A 僑生,M 碩士,013,日本,140203,華語文教學碩士學位學程, 1 , - , 1 , - , - , - , - , - , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - 
105,0001,國立政治大學,A 僑生,M 碩士,013,日本,220320,日本語文學系, 1 , - , 1 , - , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
105,0001,國立政治大學,A 僑生,M 碩士,013,日本,340301,企業管理研究所(MBA學位學程), 1 , 1 , - , - , - , - , - , - , - , 1 , - , - , - , - , - , - , - , - , - , - , - , - 
105,0001,國立政治大學,A 僑生,M 碩士,014,約旦,220307,英國語文學系, 1 , - , 1 , - , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
105,0001,國立政治大學,A 僑生,M 碩士,019,馬來西亞,140101,教育學系, 4 , 3 , 1 , 1 , 1 , 1 , - , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
105,0001,國立政治大學,A 僑生,M 碩士,019,馬來西亞,140203,華語文教學碩士學位學程, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 2 , - , 2 
105,0001,國立政治大學,A 僑生,M 碩士,019,馬來西亞,220201,中國文學系, 4 , 4 , - , 2 , - , - , - , 1 , - , 1 , - , - , - , - , - , - , - , - , - , 1 , 1 , - 
105,0001,國立政治大學,A 僑生,M 碩士,019,馬來西亞,221101,哲學系, 1 , 1 , - , - , - , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
105,0001,國立政治大學,A 僑生,M 碩士,019,馬來西亞,310201,政治學系, 2 , 2 , - , - , - , - , - , - , - , 2 , - , - , - , - , - , - , - , - , - , - , - , - 
105,0001,國立政治大學,A 僑生,M 碩士,019,馬來西亞,310301,社會學系, 2 , 1 , 1 , - , 1 , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - , 1 
105,0001,國立政治大學,A 僑生,M 碩士,019,馬來西亞,310501,心理學系, 4 , 3 , 1 , 1 , - , 1 , - , - , 1 , 1 , - , - , - , - , - , - , - , - , - , 1 , 1 , - 
105,0001,國立政治大學,A 僑生,M 碩士,019,馬來西亞,310811,地政學系, 1 , 1 , - , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
105,0001,國立政治大學,A 僑生,M 碩士,019,馬來西亞,320102,傳播學院傳播碩士學位學程, 1 , - , 1 , - , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
105,0001,國立政治大學,A 僑生,M 碩士,019,馬來西亞,320201,新聞學系, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 2 , - , 2 
105,0001,國立政治大學,A 僑生,M 碩士,019,馬來西亞,320301,廣播電視學系, 1 , 1 , - , - , - , - , - , - , - , 1 , - , - , - , - , - , - , - , - , - , - , - , - 
105,0001,國立政治大學,A 僑生,M 碩士,019,馬來西亞,320802,廣告學系, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , 1 , - 
